base_de_dados,year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,segmento
geral,2014,J,Informação e comunicação,61,Telecomunicações,677.0,22455.0,21374.0,Até 8 anos de idade
geral,2014,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,1417.0,68971.0,66505.0,Até 8 anos de idade
geral,2014,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,583.0,18964.0,18031.0,Até 8 anos de idade
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,514.0,27572.0,26316.0,Até 8 anos de idade
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",66.0,5174.0,5029.0,Até 8 anos de idade
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",431.0,18805.0,18004.0,Até 8 anos de idade
geral,2014,L,Atividades imobiliárias,68,Atividades imobiliárias,919.0,28550.0,27096.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",2756.0,58177.0,52962.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,439.0,21369.0,20635.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,1324.0,61528.0,59357.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,26.0,2495.0,2440.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,751.0,28799.0,27787.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",499.0,18293.0,17497.0,Até 8 anos de idade
geral,2014,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,42.0,912.0,796.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,2120.0,60661.0,57527.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",1019.0,134612.0,133083.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",474.0,15686.0,14897.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",1756.0,141437.0,139008.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,4336.0,301534.0,295614.0,Até 8 anos de idade
geral,2014,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",5808.0,292606.0,284291.0,Até 8 anos de idade
geral,2014,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",20.0,2505.0,2493.0,Até 8 anos de idade
geral,2014,P,Educação,85,Educação,7168.0,192127.0,179355.0,Até 8 anos de idade
geral,2014,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,1995.0,83452.0,78122.0,Até 8 anos de idade
geral,2014,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",530.0,-1.0,-1.0,Até 8 anos de idade
geral,2014,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,2.0,-1.0,-1.0,Até 8 anos de idade
geral,2014,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",157.0,3702.0,3437.0,Até 8 anos de idade
geral,2014,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,10.0,-1.0,-1.0,Até 8 anos de idade
geral,2014,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,1.0,-1.0,-1.0,Até 8 anos de idade
geral,2014,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,1399.0,32754.0,30496.0,Até 8 anos de idade
geral,2014,S,Outras atividades de serviços,94,Atividades de organizações associativas,24.0,991.0,904.0,Até 8 anos de idade
geral,2014,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,998.0,27038.0,25543.0,Até 8 anos de idade
geral,2014,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,1962.0,47307.0,44224.0,Até 8 anos de idade
geral,2014,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,0.0,0.0,0.0,Até 8 anos de idade
geral,2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",3729.0,317865.0,308369.0,Geral
geral,2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,1101.0,72373.0,70117.0,Geral
geral,2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,222.0,9105.0,8614.0,Geral
geral,2015,B,Indústrias extrativas,5,Extração de carvão mineral,12.0,4729.0,4713.0,Geral
geral,2015,B,Indústrias extrativas,6,Extração de petróleo e gás natural,33.0,3561.0,3506.0,Geral
geral,2015,B,Indústrias extrativas,7,Extração de minerais metálicos,161.0,83715.0,83438.0,Geral
geral,2015,B,Indústrias extrativas,8,Extração de minerais não-metálicos,1816.0,73175.0,69680.0,Geral
geral,2015,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,109.0,36692.0,36600.0,Geral
geral,2015,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,12385.0,1610939.0,1590365.0,Geral
geral,2015,C,Indústrias de transformação,11,Fabricação de bebidas,936.0,173457.0,171915.0,Geral
geral,2015,C,Indústrias de transformação,12,Fabricação de produtos do fumo,60.0,17646.0,17569.0,Geral
geral,2015,C,Indústrias de transformação,13,Fabricação de produtos têxteis,3100.0,238530.0,233465.0,Geral
geral,2015,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,13362.0,552435.0,531972.0,Geral
geral,2015,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",3659.0,328018.0,322689.0,Geral
geral,2015,C,Indústrias de transformação,16,Fabricação de produtos de madeira,4057.0,161117.0,154755.0,Geral
geral,2015,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",1853.0,182365.0,179391.0,Geral
geral,2015,C,Indústrias de transformação,18,Impressão e reprodução de gravações,2143.0,77377.0,73937.0,Geral
geral,2015,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",287.0,213633.0,213204.0,Geral
geral,2015,C,Indústrias de transformação,20,Fabricação de produtos químicos,3155.0,293992.0,288938.0,Geral
geral,2015,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,374.0,104563.0,104028.0,Geral
geral,2015,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,5975.0,374906.0,365390.0,Geral
geral,2015,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,9046.0,407102.0,392255.0,Geral
geral,2015,C,Indústrias de transformação,24,Metalurgia,1410.0,216429.0,214049.0,Geral
geral,2015,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",9334.0,387899.0,372351.0,Geral
geral,2015,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",1249.0,132230.0,130225.0,Geral
geral,2015,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",1843.0,217531.0,214663.0,Geral
geral,2015,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,5328.0,351316.0,342577.0,Geral
geral,2015,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",2290.0,429845.0,426377.0,Geral
geral,2015,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",502.0,110965.0,110229.0,Geral
geral,2015,C,Indústrias de transformação,31,Fabricação de móveis,4944.0,219497.0,211311.0,Geral
geral,2015,C,Indústrias de transformação,32,Fabricação de produtos diversos,2908.0,140632.0,136038.0,Geral
geral,2015,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",3336.0,157864.0,152799.0,Geral
geral,2015,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",502.0,118836.0,117699.0,Geral
geral,2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",191.0,101062.0,100815.0,Geral
geral,2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,216.0,13187.0,12923.0,Geral
geral,2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",1449.0,216958.0,214915.0,Geral
geral,2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,21.0,1403.0,1371.0,Geral
geral,2015,F,Construção,41,Construção de edifícios,17279.0,897367.0,869426.0,Geral
geral,2015,F,Construção,42,Obras de infraestrutura,5217.0,779844.0,771577.0,Geral
geral,2015,F,Construção,43,Serviços especializados para construção,13137.0,570663.0,551055.0,Geral
geral,2015,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,16861.0,591393.0,564925.0,Geral
