year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,numero_de_empresas,pessoal_ocupado_assalariados,pessoal_ocupado_assalariados,pessoal_ocupado_total,pessoal_ocupado_total
,,,,,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade
2015,C,Indústrias de transformação,32,Fabricação de produtos diversos,823,2908,19537,136038,20748,140632
2015,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",1734,3336,47823,152799,50282,157864
2015,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",151,502,7795,117699,8101,118836
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",69,191,4557,100815,4624,101062
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,68,216,4314,12923,4384,13187
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",612,1449,38366,214915,39204,216958
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,6,21,243,1371,249,1403
2015,F,Construção,41,Construção de edifícios,8997,17279,327693,869426,340997,897367
2015,F,Construção,42,Obras de infraestrutura,2079,5217,188936,771577,191797,779844
2015,F,Construção,43,Serviços especializados para construção,7521,13137,220954,551055,231433,570663
2015,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,4926,16861,115423,564925,122522,591393
2015,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",8131,25668,241770,1331196,253167,1370497
2015,G,Comércio; reparação de veículos automotores e motocicletas,47,Comércio varejista,39918,115893,911378,4157326,968937,4334859
2015,H,"Transporte, armazenagem e correio",49,Transporte terrestre,6597,17910,280802,1465536,290227,1494548
2015,H,"Transporte, armazenagem e correio",50,Transporte aquaviário,108,378,8488,42003,8636,42584
2015,H,"Transporte, armazenagem e correio",51,Transporte aéreo,22,142,11419,67495,11460,67718
2015,H,"Transporte, armazenagem e correio",52,Armazenamento e atividades auxiliares dos transportes,1882,4541,98570,394086,101275,401515
2015,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,806,1771,21401,176564,22451,179107
2015,I,Alojamento e alimentação,55,Alojamento,2265,8630,62635,273102,65929,287030
2015,I,Alojamento e alimentação,56,Alimentação,18810,37701,412602,1050563,439673,1107245
2015,J,Informação e comunicação,58,Edição e edição integrada à impressão,249,1267,6249,72947,6587,74879
2015,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",158,449,6689,22863,6882,23452
2015,J,Informação e comunicação,60,Atividades de rádio e de televisão,76,1393,4183,77496,4290,79533
2015,J,Informação e comunicação,61,Telecomunicações,729,1575,21494,175290,22606,177694
2015,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,1394,4154,70264,337023,72637,344851
2015,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,524,1224,17926,113084,18734,114993
2015,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,478,1838,21657,612771,22818,620690
2015,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",77,733,4305,207074,4450,210965
2015,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",426,1552,15898,81870,16658,84745
2015,L,Atividades imobiliárias,68,Atividades imobiliárias,927,2783,25011,89482,26436,94588
2015,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",2651,8602,51042,212980,56044,232356
2015,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,407,956,19188,64601,19777,66440
2015,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,1187,3466,46334,204465,48229,210784
2015,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,25,70,2746,19577,2790,19677
2015,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,795,1614,29321,77587,30392,80098
2015,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",480,1111,16780,57906,17561,59892
2015,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,71,158,1201,2903,1385,3308
2015,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,1921,4742,50607,180191,53341,187424
2015,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",865,2425,105940,625694,107161,629202
2015,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",432,1343,13741,46623,14424,48929
2015,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",1692,3291,127284,706723,129555,711269
2015,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,4620,7766,291348,1041798,297227,1052277
2015,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",5765,10004,239042,820510,247062,835566
2015,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",20,93,2982,33342,3004,33397
2015,P,Educação,85,Educação,7074,23278,175842,841908,188080,886193
2015,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,2076,10245,85937,648769,91520,682064
2015,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",636,1015,-1,28478,-1,30384
2015,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,1,5,-1,127,-1,139
2015,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",149,321,3611,7498,3824,8013
2015,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,9,20,144,855,156,894
2015,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,-1,4,-1,113,-1,115
2015,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,1531,3153,32362,85079,34723,90180
2015,S,Outras atividades de serviços,94,Atividades de organizações associativas,15,93,617,3447,673,3890
2015,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,854,2341,21369,68516,22581,72135
2015,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,1915,4561,42071,119486,44978,126844
2015,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,-1,-1,-1,-1,-1,-1
