year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,alto_crescimento
2014,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",9,9847,9837,Gazela
2014,C,Indústrias de transformação,20,Fabricação de produtos químicos,61,7161,7074,Gazela
2014,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,3,-1,-1,Gazela
2014,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,175,13038,12766,Gazela
2014,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,201,11672,11381,Gazela
2014,C,Indústrias de transformação,24,Metalurgia,35,2762,2721,Gazela
2014,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",215,15486,15204,Gazela
2014,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",37,7416,7361,Gazela
2014,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",44,9311,9238,Gazela
2014,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,91,6604,6463,Gazela
2014,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",44,8718,8628,Gazela
2014,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",21,25253,25221,Gazela
2014,C,Indústrias de transformação,31,Fabricação de móveis,134,6924,6731,Gazela
2014,C,Indústrias de transformação,32,Fabricação de produtos diversos,72,3756,3653,Gazela
2014,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",127,7319,7132,Gazela
2014,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",16,2295,2248,Gazela
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",3,446,444,Gazela
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,4,959,959,Gazela
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",55,4879,4799,Gazela
